الرقم,القسم,المتطلب,فقرات المصدر,الحالة,مكانه في النظام,الدليل,النتيجة وما ينقص,أساس التصنيف,ضمن فجوات المطابقة
R001,الأدوار والشبكة,مدير النظام يرى جميع المستخدمين والبيانات,77-93,محلي,الهوية والمستخدمون، التقارير، الوكلاء,access.js؛ test-owner-visibility.cjs,نطاق المدير عام محليًا. رؤية البيانات لا تعني أن كل إجراء مالي مسموح له؛ يوجد استثناء تمويل في المستند.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R002,الأدوار والشبكة,إنشاء مشرف مركزي وتحديد وكلائه,79،95-108,محلي,الهوية والمستخدمون,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,أضيف تحديد تبعية الموظف: إدارة مركزية أو موظف داخل حساب وكيل، مع بقاء الصلاحية المسماة ونطاق الوكلاء.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R003,الأدوار والشبكة,وكيل رئيسي وفرعي ونقطة بيع مرتبطة بوكيل واحد,67-74،109-141,محلي,الوكلاء والشجرة، نقاط البيع والأجهزة,engine.js:main؛ network-tree.js,العلاقات والشجرة والسحب من مخزن الرئيسي مطبقة محليًا، ونقطة البيع تحمل وكيلًا واحدًا.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R004,الأدوار والشبكة,فروع متعددة المستويات دون حلقات,412-425,محلي,الوكلاء والشجرة,network-tree.js؛ test-network-tree.cjs,التداخل والشجرة ومنع الحلقات مطبقة محليًا. إعداد حد أقصى للعمق أو مسار نقل إضافي لا يُحسب نقصًا لمجرد اقتراحه؛ يحتاج اعتمادًا مستقلًا.,متطلب مكتوب مع اقتراح إضافي,لا
R005,الأدوار والشبكة,عزل المشرف والوكيل والفرعي والنقطة,95-141,محلي,جميع الصفحات,access.js؛ test-access-reports.cjs؛ test-engine.cjs,التصفية والمنع يعملان في المحاكاة. الحماية الحقيقية تحتاج تطبيق النطاق على الخادم.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R006,الأدوار والشبكة,إيقاف الرئيسي لفروعه ونقاطه فقط,109-141،605-616,محلي,الوكلاء والشجرة، نقاط البيع والأجهزة,test-agent-suspension.cjs,اختبار الإيقاف وإعادة التفعيل ومنع البيع ورفض التحكم بشبكة أخرى نجح.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R007,الأدوار والشبكة,تسمية نوع الصلاحية واختيار الإجراءات وربط الموظفين,95-122،426-438,محلي,أنواع الصلاحيات، الهوية والمستخدمون,access.js؛ staff-model.js؛ test-staff-profiles.cjs,يوجد 145 إذنًا مع بحث واختيارات وقوالب ونطاق. عدد الأذونات لا يثبت اكتمال وحدات غير موجودة أصلًا.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R008,الأدوار والشبكة,موظف مبيعات داخل حساب الوكيل هو منفذ التمويل,36،94،107،426-438,محلي,المحافظ والتحويلات,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,التمويل يتطلب تبعية الموظف للممول؛ المدير أو الموظف المركزي يحتاج استثناءً موثقًا يستخدم مرة واحدة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R009,الأدوار والشبكة,حساب الموظف وكلمة المرور وتفعيل الحساب,95-122،618-650,محلي,الهوية والمستخدمون,completion-engine.js؛ completion-ui.js؛ operations-locales.js؛ completion-locales.js؛ test-completion.cjs؛ test-completion-ui.cjs؛ test-locales.cjs,حساب وكلمة مرور مشتقة وتفعيل، مع رحلة دخول محلي واستعادة وتغيير كلمة مؤقتة وإبطال الجلسات. مصادقة الإنتاج مسؤولية الخادم.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R010,المزودون والفئات,اسم المزود والمجهز والجهة المنظمة ونوع الربط,143-164,محلي,الشركات والمزودون,app.js:schemas.providers,حقول مستقلة وإضافة وتعديل وتفعيل؛ تبقى دلالة الجهة المنظمة التجارية بحاجة تأكيد كما في المستند.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R011,المزودون والفئات,شعار المزود وصورة التطبيق وصورة الوصل,143-164,محلي,الشركات والمزودون,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,حفظ شعار المزود وصورة التطبيق والوصل، مع أولوية صورة الفئة عند العرض.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R012,المزودون والفئات,قائمة مستقلة لمصادر توريد الطلبيات,143-164،207-224,معلق,الشركات والمزودون، الطلبيات والاستيراد,الاجتماع الثالث 04:07–05:32؛ video/evidence-1-280.png؛ app.js,ظهرت قائمة المصادر في النظام القديم وشرح استخدامها. لا يكفي ذلك وحده لفرض قائمة مستقلة في الجديد؛ الموجود حقل مجهز. يبقى شكل إدارة المصادر غير محسوم ولا يُحسب نقصًا مؤكدًا.,وصف قديم يحتاج تثبيتًا,لا
R013,المزودون والفئات,الفئة والقيمة والعملة والمحلية والعالمية,165-205,محلي,المنتجات والفئات,app.js:schemas.products,الاسم والمزود والنوع والقيمة والعملة والتفعيل موجودة.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R014,المزودون والفئات,صورة الفئة وترتيب العرض الفعلي,165-184,محلي,المنتجات والفئات، البيع,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,صورة الفئة وترتيبها مطبقان في شاشة البيع؛ الحفظ من المنتجات والفئات.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R015,المزودون والفئات,السماح بالفئة لوكلاء ومحافظات محددة,165-184,محلي,المنتجات والفئات,operations-engine.js؛ workflow-engine.js؛ operations-ui.js؛ workflow-ui.js؛ test-operations.cjs؛ test-workflow.cjs؛ test-workflow-ui.cjs؛ test-xlsx-reader.cjs,اختيار الوكلاء والمحافظات بمربعات اختيار؛ يفرض المنع عند البيع.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
R016,المزودون والفئات,حد كمية العملية وحدود الكمية والمبلغ اليومي,165-184،380-394,محلي,المنتجات والفئات، البيع,engine.js:sell؛ test-engine.cjs,حدود الفئة والمزود تعمل محليًا وباليوم العراقي؛ راجع بند التجاوزات لكل جهاز ووكيل.,المستند المحدّث، مع مراعاة قرارات المستخدم اللاحقة,لا
